"Darba ņēmēju skaita sadalījums pēc mēneša bruto darba ienākumiem pa vecuma grupām vidēji gadā (skaits) – Laika periods, Vecuma grupa un Mēneša bruto darba ienākumu lieluma grupa, eiro"

"Laika periods";"Vecuma grupa";"PAVISAM";"Ar darba ienākumiem";"..līdz 200.00";"..200.01-400.00";"..400.01-700.00";"..700.01-1000.00";"..1000.01-1500.00";"..1500.01-2000.00";"..2000.01-2500.00";"..2500.01-3000.00";"..3000.01-4000.00";"..4000.01-5000.00";"..5000.01-6000.00";"..virs 6000.00"
"2019";"19 gadi un mazāk";16094;12620;3148;3098;4191;1611;493;61;12;3;1;1;0;0
"2019";"20–24 gadi";51520;46467;3815;5386;13191;11718;8955;2344;634;225;140;40;10;11
"2019";"25–29 gadi";88286;77976;3664;5094;15936;16933;19988;8827;3711;1746;1334;433;160;151
"2019";"30–34 gadi";107036;94580;4392;5844;19579;19014;21767;10851;5420;2930;2719;1100;444;519
"2019";"35–39 gadi";99824;90863;4379;5619;19787;17603;19572;9927;5288;3027;2933;1321;570;836
"2019";"40–44 gadi";94843;89150;4459;5889;21810;17236;18759;8751;4541;2567;2596;1152;545;847
"2019";"45–49 gadi";99196;94314;4886;6598;25466;19017;19744;8485;3930;2129;2094;903;389;671
"2019";"50–54 gadi";93592;88883;4952;7089;26689;18696;17627;6820;2937;1507;1322;558;255;430
"2019";"55–59 gadi";97095;91954;5461;7880;29739;19818;17301;6138;2404;1227;1076;422;192;298
"2019";"60–64 gadi";74445;69834;4903;6610;23397;14874;12233;4098;1568;802;721;278;141;211
"2019";"65–69 gadi";32132;29530;3654;4188;9743;5588;3921;1231;500;260;237;98;46;66
"2019";"70–74 gadi";12540;11248;2009;1897;3585;1921;1091;356;155;81;78;30;15;29
"2019";"75 gadi un vairāk";7929;6849;1590;1285;2059;1050;481;178;78;47;38;19;8;17
"2020";"19 gadi un mazāk";12912;9978;2413;2417;3168;1404;484;70;15;5;3;0;0;0
"2020";"20–24 gadi";48102;42159;3722;4809;10878;10486;8637;2377;724;275;170;49;13;18
"2020";"25–29 gadi";79806;69123;3401;4408;12269;14383;18291;8614;3749;1771;1400;474;174;189
"2020";"30–34 gadi";104991;90977;4331;5464;16268;17731;21800;11268;5776;3216;2891;1165;488;580
"2020";"35–39 gadi";100685;90014;4403;5354;17028;16934;20297;10783;5722;3311;3206;1443;631;902
"2020";"40–44 gadi";92554;85472;4381;5452;18103;16083;18920;9349;4936;2725;2802;1217;585;919
"2020";"45–49 gadi";97207;90931;4779;6150;21660;17989;20082;9126;4346;2296;2315;983;433;773
"2020";"50–54 gadi";92527;86387;4905;6719;23146;18162;18199;7446;3242;1643;1550;621;288;464
"2020";"55–59 gadi";93744;87415;5310;7293;25644;19033;17527;6495;2601;1300;1176;466;224;345
"2020";"60–64 gadi";77002;71087;5010;6566;21770;15498;13282;4672;1812;884;839;336;166;253
"2020";"65–69 gadi";34029;30627;3813;4139;9527;6064;4296;1385;568;303;286;110;51;85
