"Darba ņēmēju skaita sadalījums pēc mēneša bruto darba ienākumiem pa vecuma grupām vidēji gadā (%) – Laika periods, Vecuma grupa un Mēneša bruto darba ienākumu lieluma grupa, eiro"

"Laika periods";"Vecuma grupa";"PAVISAM";"Ar darba ienākumiem";"..līdz 200.00";"..200.01-400.00";"..400.01-700.00";"..700.01-1000.00";"..1000.01-1500.00";"..1500.01-2000.00";"..2000.01-2500.00";"..2500.01-3000.00";"..3000.01-4000.00";"..4000.01-5000.00";"..5000.01-6000.00";"..virs 6000.00"
"2019";"19 gadi un mazāk";X;100.0;24.9;24.5;33.2;12.8;3.9;0.5;0.1;0.0;0.0;0.0;0.0;0.0
"2019";"20–24 gadi";X;100.0;8.2;11.6;28.4;25.2;19.3;5.0;1.4;0.5;0.3;0.1;0.0;0.0
"2019";"25–29 gadi";X;100.0;4.7;6.5;20.4;21.7;25.6;11.3;4.8;2.2;1.7;0.6;0.2;0.2
"2019";"30–34 gadi";X;100.0;4.6;6.2;20.7;20.1;23.0;11.5;5.7;3.1;2.9;1.2;0.5;0.5
"2019";"35–39 gadi";X;100.0;4.8;6.2;21.8;19.4;21.5;10.9;5.8;3.3;3.2;1.5;0.6;0.9
"2019";"40–44 gadi";X;100.0;5.0;6.6;24.5;19.3;21.0;9.8;5.1;2.9;2.9;1.3;0.6;1.0
"2019";"45–49 gadi";X;100.0;5.2;7.0;27.0;20.2;20.9;9.0;4.2;2.3;2.2;1.0;0.4;0.7
"2019";"50–54 gadi";X;100.0;5.6;8.0;30.0;21.0;19.8;7.7;3.3;1.7;1.5;0.6;0.3;0.5
"2019";"55–59 gadi";X;100.0;5.9;8.6;32.3;21.6;18.8;6.7;2.6;1.3;1.2;0.5;0.2;0.3
"2019";"60–64 gadi";X;100.0;7.0;9.5;33.5;21.3;17.5;5.9;2.2;1.1;1.0;0.4;0.2;0.3
"2019";"65–69 gadi";X;100.0;12.4;14.2;33.0;18.9;13.3;4.2;1.7;0.9;0.8;0.3;0.2;0.2
"2019";"70–74 gadi";X;100.0;17.9;16.9;31.9;17.1;9.7;3.2;1.4;0.7;0.7;0.3;0.1;0.3
"2019";"75 gadi un vairāk";X;100.0;23.2;18.8;30.1;15.3;7.0;2.6;1.1;0.7;0.6;0.3;0.1;0.2
"2020";"19 gadi un mazāk";X;100.0;24.2;24.2;31.7;14.1;4.9;0.7;0.2;0.1;0.0;0.0;0.0;0.0
"2020";"20–24 gadi";X;100.0;8.8;11.4;25.8;24.9;20.5;5.6;1.7;0.7;0.4;0.1;0.0;0.0
