,M,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
1,B,Arhitektūra,40,€ 2 000,-,-
3,M,Arhitektūra,40,€ 3 000,-,-
5,PhD,Arhitektūra,2,€ 7 325,-,-
7,C,Būvdarbu vadīšana,-,-,-,€ 1 150
8,C,Būvniecība,37,€ 1 500,€ 900,-
10,B,Biotehnoloģija un bioinženierija,-,-,-,-
12,B,Būvniecība,140,€ 1 500,€ 900,-
13,B,"Siltuma, gāzes un ūdens tehnoloģija",40,€ 1 500,€ 900,€ 1 150
14,B,Transportbūves,50,€ 1 500,€ 900,-
15,B,Transportbūves,8,€ 1 500,€ 900,-
16,B,Ģeomātika,20,€ 1 500,€ 900,-
18,M,Inovatīva ceļu un tiltu inženierija,5,€ 2 000,-,-
19,M,Inovatīvie risinājumi ģeomātikā,5,€ 2 000,-,-
21,M,Būvniecība,60,€ 2 075,€ 1 150,-
22,M,"Siltuma, gāzes un ūdens tehnoloģija",30,€ 2 075,-,-
23,M,Transportbūves,29,€ 2 075,€ 1 150,-
24,M,Ģeomātika,20,€ 2 075,€ 1 150,-
26,PhD,Būvniecība,7,€ 4 275,-,-
27,PhD,"Siltuma, gāzes un ūdens tehnoloģija",4,€ 4 275,-,-
29,C,Datorsistēmas,-,€ 1 275,-,-
31,B,Automātika un datortehnika,95,€ 1 375,-,-
32,B,Datorsistēmas,179,€ 1 275,-,-
33,B,Informācijas tehnoloģija,165,€ 1 275,-,-
34,B,Intelektuālas robotizētas sistēmas,23,€ 1 275,-,-
36,B,Datorsistēmas,17,€ 1 275,-,-
37,B,Finanšu inženierija,21,€ 1 275,-,-
38,B,Finanšu pārvaldības informācijas sistēmas (kopīga programma ar Banku augstskolu),-,€ 1 400,-,-
40,M,Automātika un datortehnika,12,€ 1 975,-,-
41,M,Biznesa informātika,10,€ 1 250,-,€ 1 000
42,M,Datorsistēmas,33,€ 1 850,-,-
43,M,Finanšu inženiermatemātika,15,€ 1 850,-,-
44,M,Informācijas tehnoloģija,28,€ 1 850,-,-
45,M,Intelektuālas robotizētas sistēmas,12,€ 1 850,-,-
46,M,Kiberdrošības inženierija,10,€ 1 750,-,-
47,M,Loģistikas sistēmu un piegādes ķēdes vadība,-,€ 1 750,-,-
49,M,Automātika un datortehnika,6,€ 1 975,-,-
50,M,Datorsistēmas,24,€ 1 850,-,-
51,M,Informācijas tehnoloģija,30,€ 1 850,-,-
53,PhD,Datorzinātne un informācijas tehnoloģija,-,€ 3 850,-,-
55,B,Telekomunikācijas,137,€ 1 375,-,-
57,B,Transporta elektronika un telemātika,35,€ 1 375,-,-
58,B,Viedās elektroniskās sistēmas,55,€ 1 375,-,-
60,M,Telekomunikācijas,60,€ 1 975,-,-
62,M,Transporta elektronika un telemātika,10,€ 1 975,-,-
63,M,Viedās elektroniskās sistēmas,25,€ 1 975,€ 1 000,-
65,PhD,Elektronika,2,€ 4 275,-,-
66,PhD,Telekomunikācijas,6,€ 4 275,-,-
68,B,Enerģētika un elektrotehnika,7,€ 1 375,-,-
69,B,Vides inženierija,25,€ 1 525,-,-
71,B,Adaptronika,43,€ 1 375,€ 825,-
72,B,Elektrotehnoloģiju datorvadība,58,€ 1 375,€ 825,€ 800
73,B,Viedā elektroenerģētika,90,€ 1 375,€ 825,-
75,M,Vides inženierija,15,€ 2 225,-,-
77,M,Adaptronika,10,€ 1 975,-,-
78,M,Elektrotehnoloģiju datorvadība,20,€ 1 975,€ 1 000,-
79,M,Viedā elektroenerģētika,30,€ 1 975,-,-
81,PhD,Elektrotehnoloģiju datorvadība,10,€ 4 275,-,-
82,PhD,Enerģētika un elektrotehnika,10,€ 8 550,-,-
83,PhD,Vides inženierija,12,€ 4 675,-,-
85,C,Enerģētika un elektrotehnika,20,€ 1 975,-,-
87,B,Tehniskā tulkošana,5,€ 840,-,-
89,M,Digitālās humanitārās zinātnes,25,€ 1 500,-,-
90,M,E-studiju tehnoloģijas,8,€ 1 850,-,-
92,M,Tehniskā tulkošana,2,€ 1 260,-,-
94,PhD,E-studiju tehnoloģijas un pārvaldība,1,€ 3 850,-,-
96,C,Nekustamā īpašuma pārvaldība,-,€ 835,€ 550,-
97,C,Uzņēmējdarbība un vadīšana,14,€ 825,€ 550,€ 650
99,B,Ekonomika,10,€ 875,€ 600,-
100,B,Radošās industrijas (kopīga programma ar Latvijas Kultūras akadēmiju),10,€ 1 100,-,-
101,B,Uzņēmējdarbība un vadīšana,12,€ 875,€ 600,€ 675
103,B,Drošības inženierija,20,€ 1 275,-,-
104,B,Muitas un nodokļu administrēšana,20,€ 1 275,€ 600,-
105,B,Nekustamā īpašuma pārvaldība,6,€ 875,€ 600,-
106,B,Nekustamā īpašuma pārvaldība,-,€ 875,€ 600,-
107,B,Reģionālās attīstības un pilsētekonomikas inženierija,15,€ 1 125,-,-
108,B,Starptautisko ekonomisko sakaru vadīšana,5,€ 875,-,-
109,B,Uzņēmējdarbība un vadīšana,26,€ 875,€ 600,-
110,B,Uzņēmējdarbība un vadīšana,-,€ 875,€ 1 200,-
111,B,Uzņēmējdarbības loģistika,5,€ 875,€ 600,-
112,B,Visaptverošā kvalitātes vadība,25,€ 1 125,€ 600,-
114,M,Ekonomika,18,€ 1 075,-,-
115,M,Radošās industrijas un izaugsmes menedžments,9,€ 1 150,-,-
116,M,Ražošanas inženierzinības un vadība,17,€ 1 225,-,-
117,M,Uzņēmējdarbība un vadīšana,18,€ 1 075,-,-
118,M,Uzņēmējdarbības finanses,-,€ 1 075,-,-
120,M,Būvuzņēmējdarbības un nekustamā īpašuma vadīšana,10,€ 1 050,€ 700,-
121,M,Darba aizsardzība,-,-,€ 875,-
122,M,Inovācijas un uzņēmējdarbība,-,€ 1 425,-,€ 1 425
123,M,Līderība un vadība,16,€ 1 075,€ 700,-
124,M,Muitas un nodokļu administrēšana,30,€ 1 300,€ 700,-
125,M,Pilsētu un reģionu inženierekonomika,22,€ 1 075,€ 700,-
126,M,Starptautisko ekonomisko sakaru vadīšana,15,€ 1 075,-,-
127,M,Visaptverošā kvalitātes vadība,10,€ 1 075,-,€ 820
129,PhD,Vadībzinātne un ekonomika,8,€ 2 675,€ 1 100,-
131,C,Ugunsdrošība un civilā aizsardzība,27,€ 1 275,-,-
133,B,"Inženiertehnika, mehānika un mašīnbūve",43,€ 1 400,-,-
135,B,Automobiļu transports,58,€ 1 400,€ 825,-
136,B,Aviācijas transports,68,€ 1 400,-,-
137,B,Dzelzceļa inženierija,40,€ 1 400,-,-
138,B,Industriālais dizains,20,€ 1 400,-,-
139,B,Mašīnu un aparātu būvniecība,35,€ 1 400,€ 825,-
140,B,Medicīnas inženierija un fizika,40,€ 1 675,-,-
141,B,Mehatronika,51,€ 1 400,-,-
142,B,Mehatronika,2,€ 1 400,-,-
143,B,Siltumenerģētika un siltumtehnika,24,€ 1 400,-,-
144,B,Siltumenerģētika un siltumtehnika,4,€ 1 400,-,-
145,B,Transporta sistēmu inženierija,30,€ 1 400,-,-
147,M,"Inženiertehnika, mehānika un mašīnbūve",10,€ 2 100,-,-
148,M,Ražošanas tehnoloģija,16,€ 2 100,-,-
150,M,Automobiļu transports,15,€ 2 100,-,-
151,M,Aviācijas transports,25,€ 2 100,-,-
152,M,Dzelzceļa inženierija,20,€ 2 100,-,-
153,M,Medicīnas inženierija un fizika,18,€ 2 100,-,-
154,M,Siltumenerģētika un siltumtehnika,10,€ 2 100,-,-
155,M,Transporta sistēmu inženierija,18,€ 2 100,-,-
157,PhD,"Inženiertehnika, mehānika un mašīnbūve",-,€ 4 275,-,-
158,PhD,Mašīnbūve un mehānika,6,€ 17 100,-,-
159,PhD,Transports,5,€ 8 550,€ 3 500,-
161,B,Materiālu inženierija,25,€ 1 400,-,-
162,B,Ķīmija un ķīmijas tehnoloģija,80,€ 1 400,-,-
164,B,Apģērbu un tekstila tehnoloģija,28,€ 1 475,-,-
165,B,Materiālu tehnoloģija un dizains,56,€ 1 475,-,-
167,M,Materiālzinātne un nanotehnoloģijas,10,€ 2 100,-,-
168,M,Ķīmija un ķīmijas tehnoloģija,25,€ 2 325,-,-
170,M,Dizaina inženierija,32,€ 2 225,-,-
172,PhD,Apģērbu un tekstila tehnoloģija,2,€ 4 425,-,-
173,PhD,Materiālzinātne,4,€ 4 175,-,-
174,PhD,Ķīmija,6,€ 4 650,-,-
175,PhD,"Ķīmija, materiālzinātne un tehnoloģijas",-,€ 4 175,-,-
176,PhD,Ķīmijas tehnoloģija,6,€ 4 175,-,-
178,B,Datorzinātne un organizāciju tehnoloģijas,-,€ 2 298,-,-
179,B,Vadīšana starptautiskos uzņēmumos,-,€ 2 272,-,-
180,B,Vadīšana starptautiskos uzņēmumos,-,-,-,-
182,M,Uzņēmumu un organizāciju vadīšana,-,€ 9 900,-,€ 2 166
