,PhD,Study programme,Funded places,Tuition PLK,Tuition NLK,Tuition NLN
1,C,Būvniecība,20,€ 6 970,€ 4 340,-
3,B,Aeronautikas un transporta sistēmu inženierija,30,€ 3 180,-,-
4,B,"Inženiertehnika, mehānika un mašīnbūve",35,€ 3 180,-,-
6,B,Autotransporta inženierija,60,€ 3 180,€ 2 540,-
7,B,Aviācijas transports,70,€ 3 180,-,-
8,B,Būvniecība,120,€ 3 920,€ 2 540,-
9,B,Dzelzceļa inženierija,-,€ 3 180,-,-
10,B,Industriālais dizains,30,€ 3 180,-,-
11,B,Mašīnu un aparātu būvniecība,30,€ 3 180,€ 2 540,-
12,B,Medicīnas inženierija un fizika,45,€ 4 110,-,-
13,B,Mehatronika,45,€ 3 180,-,-
14,B,"Siltuma, gāzes un ūdens tehnoloģija",35,€ 3 920,€ 3 140,-
15,B,Siltumenerģētika un siltumtehnika,30,€ 3 180,€ 2 540,-
16,B,Transportbūves,40,€ 3 920,€ 2 540,-
17,B,Ģeomātika,30,€ 3 550,€ 2 840,-
19,M,Aerokosmisko sistēmu inženierija,20,€ 4 760,-,-
20,M,Aviācijas transports,20,€ 4 760,-,-
21,M,Inovatīva ceļu un tiltu inženierija,5,€ 5 880,-,-
22,M,Inovatīvie risinājumi ģeomātikā,5,€ 5 880,-,-
23,M,"Inženiertehnika, mehānika un mašīnbūve",-,€ 4 760,-,-
24,M,Ražošanas tehnoloģija,20,€ 4 760,-,-
26,M,Autotransporta inženierija,20,€ 4 760,-,-
27,M,Būvniecība,30,€ 5 880,€ 4 710,-
28,M,Dzelzceļa inženierija,20,€ 4 760,-,-
29,M,Medicīnas inženierija un fizika,20,€ 4 760,-,-
30,M,"Siltuma, gāzes un ūdens tehnoloģija",20,€ 5 880,-,-
31,M,Siltumenerģētika un siltumtehnika,20,€ 4 760,€ 3 810,-
32,M,Transportbūves,40,€ 5 880,-,-
33,M,Ģeomātika,-,€ 5 320,€ 4 260,-
35,PhD,Būvniecība,5,€ 13 450,-,-
36,PhD,Mašīnbūve un mehānika,7,€ 8 550,-,-
37,PhD,"Siltuma, gāzes un ūdens tehnoloģija",4,€ 13 450,-,-
38,PhD,Transports,5,€ 8 550,€ 3 500,-
40,B,Biotehnoloģija un bioinženierija,14,€ 3 550,-,-
41,B,Materiālu inženierija,15,€ 3 180,-,-
